City,Temperature,Humidity,WindSpeed,RainProbability,Pressure,Condition
Kolkata,34,78,12,80,1002,Rainy
Delhi,40,35,18,10,998,Sunny
Mumbai,30,85,22,90,1005,Storm
Chennai,36,70,14,60,1001,Cloudy
Bangalore,28,65,10,30,1008,Sunny
Hyderabad,38,40,20,15,999,Hot
Pune,29,55,8,20,1007,Clear
Jaipur,42,25,16,5,995,Heatwave
Lucknow,35,72,11,50,1003,Humid
Ahmedabad,41,30,19,8,997,Sunny
Varanasi,33,80,13,70,1000,Rainy
Surat,31,90,25,95,1006,Storm
Kanpur,37,68,17,40,1004,Cloudy
Nagpur,39,45,21,12,998,Hot
Indore,32,60,9,25,1009,Clear
Thane,30,82,24,85,1005,Rainy
Agra,38,50,18,20,1000,Sunny
Coimbatore,29,75,10,55,1002,Cloudy
Mysore,27,68,8,30,1007,Clear
Guwahati,31,88,26,90,1004,Storm
Kakinada,34,70,15,60,1001,Cloudy
Vizag,33,80,20,75,1003,Rainy
Vijayawada,36,65,12,40,1000,Sunny
Amalapuram,30,78,14,50,1006,Cloudy
Yanam,28,82,9,60,1008,Rainy
Mummidivaram,29,85,11,70,1005,Storm
Komanapalli,31,90,13,80,1004,Rainy
Narsapur,32,75,10,55,1002,Cloudy
Ongole,30,80,18,65,1001,Rainy
Rajahmundry,33,78,20,70,1003,Rainy
Eluru,29,82,12,60,1005,Cloudy
Tirupati,34,68,15,30,1000,Sunny
Guntur,31,75,14,50,1002,Cloudy
Nellore,30,80,17,65,1001,Rainy
Kurnool,32,70,19,40,1003,Sunny
Kadapa,29,78,11,55,1004,Cloudy
Anantapur,33,65,20,30,1000,Sunny
Matlapalem,28,82,9,60,1006,Rainy
Srikakulam,30,85,13,70,1005,Storm
Vizianagaram,31,80,18,65,1003,Rainy
Parvathipuram,29,78,10,55,1002,Cloudy
Bhimavaram,32,75,15,50,1001,Cloudy
Narasapuram,30,80,12,60,1004,Rainy
Palakollu,31,82,14,70,1005,Storm
Tadepalligudem,29,78,11,55,1003,Cloudy
Elamanchili,30,80,16,65,1002,Rainy
Pithapuram,32,75,18,50,1001,Cloudy
Kakinada,33,70,20,40,1000,Sunny
Kovvur,29,82,12,60,1004,Rainy
Nidadavole,30,80,14,70,1005,Storm
Palasa,31,78,10,55,1003,Cloudy
Sompeta,29,85,13,80,1002,Rainy
Tekkali,30,80,17,65,1001,Rainy
Pathapatnam,32,75,19,50,1000,Cloudy
Parvathipuram,31,78,15,60,1004,Rainy
Salur,29,82,11,55,1003,Cloudy
Vizianagaram,30,80,16,65,1002,Rainy
Cheepurupalli,31,75,18,50,1001,Cloudy
Bobbarlanka,29,78,12,60,1004,Rainy
Kakinada,30,80,14,70,1005,Storm
